dex_number,pokemon_name_gs_korean,category_same,height_same,weight_same,description_same,gold_category,silver_category,height_dm,weight_hg,gold_description,silver_description,gold_bank_hex,silver_bank_hex,gold_cpu_address_hex,silver_cpu_address_hex
169,크로뱃,True,True,True,False,박쥐,박쥐,18,750,4장으로 많아진 날개로<NEXT>어둠 속을 조용하게 날아간다<NEXT>주위를 지나쳐가도 알아채지 못한다,발에도 날개가 발달해있어서<NEXT>고속으로 날 수 있도록 되었지만<NEXT>멈춰서 쉬는 것은 어렵게 되었다,0x69,0x69,0x4D42,0x4CF3
170,초라기,True,True,True,False,아귀,아귀,5,120,2개의 촉수 끝에서<NEXT>양극과 음극의 전기를<NEXT>흐르게 해서 상대를 감전시킨다,어두운 해저에서는 항상<NEXT>깜빡거리고 있는 촉수의<NEXT>빛만이 통신수단이다,0x69,0x69,0x4D9E,0x4D54
171,랜턴,True,True,True,False,라이트,라이트,12,225,랜턴이 내는 빛은<NEXT>5000m의 깊이에서도<NEXT>수면까지 전해질 정도로 밝다,눈부신 빛을 발산해서 상대의 눈을<NEXT>어둡게 만들어 움직이지 못하는<NEXT>동안에 통째로 삼켜버린다,0x69,0x69,0x4DEB,0x4D9E
172,피츄,True,True,True,False,아기쥐,아기쥐,3,20,아직 전기를 잘 모으지 못한다<NEXT>놀라거나 웃거나 하면<NEXT>바로 방전해 버린다,작아도 어른을 찌릿찌릿<NEXT>감전 시킬 정도의 전기를 낸다<NEXT>단 자신도 놀라 어쩔줄 모른다,0x69,0x69,0x4E35,0x4E00
173,삐,True,True,True,False,별,별,3,30,별님같은 실루엣<NEXT>그 모습 때문에 유성을 타고<NEXT>나타난다고 믿어지고 있다,별똥별이 많은 밤<NEXT>이상하게도 삐의 모습을<NEXT>발견하는 일이 많아진다,0x69,0x69,0x4E84,0x4E5B
174,푸푸린,True,True,True,False,풍선,풍선,3,10,매우 부드러운 몸<NEXT>한번 구르면 탄성에 가속이 붙어<NEXT>전혀 멈출 수 없게된다,탄력성이 넘치는<NEXT>몸을 지녀서 언제<NEXT>어디서든 튀어다니고 있다,0x69,0x69,0x4ECE,0x4EA0
175,토게피,True,True,True,False,바늘알,바늘알,3,15,껍질 안에 행복이 많이<NEXT>들어 있는 것 같아서 잘 대해주면<NEXT>행운을 나누어 준다고 말한다,자고 있는 토게피를 잘<NEXT>세울 수 있다면 행복해질 수<NEXT>있다는 전설이 전해진다,0x69,0x69,0x4F1C,0x4EE2
176,토게틱,True,True,True,False,행복,행복,6,32,마음 좋은 사람 앞에<NEXT>행복을 가져다주기 위해<NEXT>모습을 나타낸다고 전해지고 있다,상냥한 사람 곁에 있지 않으면<NEXT>기운이 나지 않게 되어버린다<NEXT>날개를 움직이지 않고 뜰 수 있다,0x69,0x69,0x4F78,0x4F34
177,네이티,True,True,True,False,아기새,아기새,2,20,날개가 아직 잘 발달하지 못해서<NEXT>뛰어오를 듯이 해서 이동한다<NEXT>항상 무언가를 바라보고 있다,보통은 지상에서 먹이를 찾지만<NEXT>극히 드물게 나뭇가지에 날아 앉아<NEXT>나무 싹을 쪼아먹기도 한다,0x69,0x69,0x4FCB,0x4F95
178,네이티오,True,True,True,False,정령,정령,15,150,거의 움직이거나 울지도 않고<NEXT>가만히 있는 것은 과거와 미래를<NEXT>보고있기 때문이라고 믿어지고 있다,오른쪽 눈은 미래를<NEXT>왼쪽 눈은 과거를 보고 있다고<NEXT>남아메리카에서 전해지고 있다,0x69,0x69,0x502C,0x4FF8
179,메리프,True,True,True,False,솜털,솜털,6,78,몸에 정전기가 모이면<NEXT>털이 평상시의 2배정도로<NEXT>부풀어 오른다  만지면 감전됨,몸의 털은 점점 자란다<NEXT>여름이 되면 전부 빠지지만<NEXT>일주일 정도면 원래대로 자라난다,0x69,0x69,0x5091,0x504D
180,보송송,True,True,True,False,솜털,솜털,8,133,전기를 너무 많이 모은 결과<NEXT>몸의 표면에 솜털조차<NEXT>자라지 않는 부분이 생겼다,푹신푹신한 털은 전기를<NEXT>모으기 쉽지만 고무같은 피부<NEXT>덕분에 자신은 감전되지 않는다,0x69,0x69,0x50E3,0x50A5
181,전룡,True,True,True,False,라이트,라이트,14,615,꼬리 끝이 빛나며 반짝인다<NEXT>빛은 아주 먼 곳까지 닿아서<NEXT>길잃은 자들의 이정표가 된다,꼬리의 빛은 멀리까지<NEXT>전해지기 때문에 예전부터 봉화<NEXT>역할로서 중요하게 여겨지고 있다,0x69,0x69,0x5135,0x50FE
182,아르코,True,True,True,False,꽃,꽃,4,58,가끔 아르코가 모여서<NEXT>춤을 추는 듯한 행동을 보인다<NEXT>태양을 부르는 의식이라 전해진다,남국에 넓게 분포하여 서식하고있다<NEXT>춤출 때 꽃잎끼리 서로 부딪히며<NEXT>기분 좋은 소리가 울려 퍼진다,0x69,0x69,0x5190,0x515B
183,마릴,True,True,True,False,물쥐,물쥐,4,85,꼬리 끝에는 물보다도<NEXT>가벼운 기름이 담겨져 있어서<NEXT>물에 빠짐없이 강을 건넌다,꼬리의 끝이 부레의<NEXT>역할을 하기 때문에 거센<NEXT>물살에도 빠져 죽거나 하지 않는다,0x69,0x69,0x51E8,0x51BF
184,마릴리,True,True,True,False,물토끼,물토끼,8,285,가만히 귀를 기울이면<NEXT>거세게 흐르는 강 안에<NEXT>무엇이 있는가 들어서 구별한다,물놀이를 할 때<NEXT>물이 귀에 들어가지 않도록<NEXT>긴 귀를 감아 접고 있다,0x69,0x69,0x523B,0x5213
185,꼬지모,True,True,True,False,흉내,흉내,12,380,항상 나무행세를 하고 있다<NEXT>몸의 구성은 식물보다<NEXT>돌이나 바위쪽에 가깝다,습격당하지 않도록 나무흉내를 낸다<NEXT>물에 약하기 때문에 비가 내리면<NEXT>어느 순간에 모습을 감춰버린다,0x69,0x69,0x528E,0x525D
186,왕구리,True,True,True,False,개구리,개구리,11,339,울음소리가 울려퍼지면<NEXT>여기저기서 발챙이랑<NEXT>수륙챙이들이 모인다,3마리 이상 왕구리가<NEXT>모이면 반드시 큰소리로 아우성치는<NEXT>울음소리로 합창을 하기 시작한다,0x69,0x69,0x52DC,0x52C4
187,통통코,True,True,True,False,솜풀,솜풀,4,5,통통코끼리 모여서 바람에<NEXT>날려가지 않도록 하고있다<NEXT>단 산들바람에 날리는 것은 좋아함,매우 가벼운 몸을 가졌다<NEXT>바람에 날아가지 않도록 단단히<NEXT>지면을 밟아 지탱하고 있다,0x69,0x69,0x5324,0x5324
188,두코,True,True,True,False,솜풀,솜풀,6,10,머리 위에 핀 꽃은<NEXT>기온에 의해 피거나<NEXT>지거나 하는 성질을 가지고 있다,태양 빛을 잘 받기 위해<NEXT>꽃잎을 펼칠 뿐만 아니라<NEXT>가까이 가려고 하늘로 떠올라버린다,0x69,0x69,0x537F,0x537C
189,솜솜코,True,True,True,False,솜풀,솜풀,8,30,한번 바람을 타고나면<NEXT>솜 포자를 잘 조정해서<NEXT>세계를 떠돌아다닌다,계절풍을 따라 날려 다니며<NEXT>자손을 늘리기 위해 포자를<NEXT>세계 여기저기에 흩어 뿌린다,0x69,0x69,0x53CB,0x53D5
190,에이팜,True,True,True,False,긴꼬리,긴꼬리,8,115,힘이 센 꼬리만으로<NEXT>나뭇가지에 매달려서<NEXT>몸을 지탱할 수 있다,높은 나무 위에서 살고 있다<NEXT>나뭇가지에서 가지로 뛰어 건널 때<NEXT>꼬리로 능숙하게 중심을 잡는다,0x69,0x69,0x5412,0x542D
191,해너츠,True,True,True,False,씨앗,씨앗,3,18,어느 아침에 돌연 날려온다<NEXT>깨비참에 공격을 받으면 잎사귀를<NEXT>거세게 흔들어서 쫓아낸다,잎사귀의 뒷면에 모인<NEXT>이슬만을 먹고산다<.> 그밖에는<NEXT>아무것도 먹지 않는다고 한다,0x69,0x69,0x5457,0x5491
192,해루미,True,True,True,False,태양,태양,8,85,햇빛을 에너지로 바꾼다<NEXT>태양이 저물어 어두워지면<NEXT>꽃잎을 닫고 그자리에서 머문다,낮에는 지나칠 정도로 활발히<NEXT>돌아다니지만 해가 저물면<NEXT>돌연히 움직이지 않게 된다,0x69,0x69,0x54B2,0x54E7
193,왕자리,True,True,True,False,얇은날개,얇은날개,12,380,고속으로 날개를 치면<NEXT>충격파가 발생해서<NEXT>주변의 유리창이 깨진다,커다란 양쪽 눈으로 360도<NEXT>모든 방향을 멀리 살펴서<NEXT>먹이가 되는 벌레를 찾고 있다,0x69,0x69,0x5508,0x553E
194,우파,True,True,True,False,수어,수어,4,85,차가운 물속에서 생활한다<NEXT>근처가 선선해지면 먹이를<NEXT>찾으러 지상에도 나타난다,지상을 돌아다닐 때는<NEXT>미끈미끈한 독의 점막으로<NEXT>몸의 표면을 덮고 있다,0x69,0x69,0x5552,0x5598
195,누오,True,True,True,False,수어,수어,14,750,태평한 성격으로<NEXT>제멋대로 헤엄치고는 항상<NEXT>배 밑에 머리를 부딪히고 있다,태평스러운 성격으로<NEXT>헤엄치고 있을 때는 강바닥의 돌과<NEXT>배 밑에 머리를 부딪치고 있다,0x69,0x69,0x55A5,0x55E4
196,에브이,True,True,True,False,태양,태양,9,265,전신의 세밀한 털로<NEXT>공기의 흐름을 느껴서<NEXT>상대방의 행동을 예측한다,공기의 흐름을 읽어내는 것으로<NEXT>이제부터의 날씨와 상대방의<NEXT>움직임등을 모두 맞혀버린다,0x69,0x69,0x55F3,0x563E
197,블래키,True,True,True,False,달빛,달빛,10,270,흥분하면 몸 전체의<NEXT>모공에서 독소가 섞인<NEXT>땀을 흩뿌려 몸을 보호한다,접근하는 무리에게 겁을주기 위해<NEXT>몸에있는 고리모양의 문양은<NEXT>어두워지면 자연적으로 빛을 낸다,0x69,0x69,0x563C,0x569A
198,니로우,True,True,True,False,어둠,어둠,5,21,밤에 모습을 발견하면<NEXT>불길한 일이 생긴다고 믿어져<NEXT>미움을 받고있는 포켓몬,따라오는 무리가 있으면<NEXT>어둠의 산길로 끌어들여<NEXT>호되게 혼을 빼놓는다,0x69,0x69,0x5686,0x56FD
199,야도킹,True,True,True,False,임금,임금,20,795,대단한 지성과 번뜩임을<NEXT>지니고 있다  어느 때든 놀라거나<NEXT>소란피우지 않고 태연하게 있다,물렸을 때 머리에 깊게 스며든<NEXT>독소에 의해 심상치 않은<NEXT>능력에 눈을 뜬 야돈,0x69,0x69,0x56D6,0x5748
200,무우마,True,True,True,False,야명,야명,7,10,밤중에 사람의 통곡소리 같은<NEXT>울음소리를 내서 모두를<NEXT>놀래키는 장난꾸러기,갑자기 뒷머리에 달려들어<NEXT>잡아당기고는 사람들이 놀래는<NEXT>모습을 보고 즐거워한다,0x69,0x69,0x5733,0x5799
201,안농,True,True,True,False,심볼,심볼,5,50,모습과 형태가 옛날 석판에<NEXT>새겨진 문자랑 닮아서 관계가<NEXT>있을 것이라는 소문이 돌고 있다,몸자체는 굉장히 얇고<NEXT>항상 벽에 들러붙어 있다<NEXT>몸의 형태에는 뭔가 의미가 있는듯,0x69,0x69,0x5782,0x57EE
202,마자용,True,True,True,False,인내,인내,13,285,빛과 충격을 싫어함<NEXT>공격받으면 몸이 부풀어올라<NEXT>반격이 강력해진다,새까만 꼬리를 숨기기 위해<NEXT>어둠속에서 은밀히 지내고 있다<NEXT>먼저 공격하는 일은 없다,0x69,0x69,0x57DF,0x5844
203,키링키,True,True,True,False,긴목,긴목,15,415,꼬리에 작은 뇌가 있다<NEXT>가까이 가면 냄새에 반응해서<NEXT>물려고 오기때문에 주의가 필요하다,꼬리에도 작은 뇌가 있다<NEXT>냄새에 이끌려서 맘대로<NEXT>꼬리가 달려든 적도 있다,0x69,0x69,0x5827,0x589C
204,피콘,True,True,True,False,도롱이벌레,도롱이벌레,6,72,나무껍질을 짜맞춰서<NEXT>껍질을 두껍게 하는 것을 좋아한다<NEXT>무거워져도 걱정하지 않는다,매달려있는 채로 먹이가 되는<NEXT>벌레가 날아오는 것을 기다리고있다<NEXT>자기자신은 그다지 움직이지 않는다,0x69,0x69,0x5883,0x58EB
205,쏘콘,True,True,True,False,도롱이벌레,도롱이벌레,12,1258,강철 같은 단단한 껍질로<NEXT>전신을 둘러싸고 있다<NEXT>안의 정체는 불명,나무에 붙어있는 채로 안 움직인다<NEXT>단단한 껍질 파편을 흩뿌려서<NEXT>다가오는 무리들을 쫓아 버린다,0x69,0x69,0x58E1,0x5959
206,노고치,True,True,True,False,땅뱀,땅뱀,15,140,누군가에게 들키면<NEXT>꼬리로 땅을 파서<NEXT>뒤를 보이고 도망치기 시작한다,누군가에게 모습을 보이면<NEXT>꼬리로 구멍을 파서 도망친다<NEXT>날개로 약간은 공중에 뜰 수 있다,0x69,0x69,0x592D,0x59C2
207,글라이거,True,True,True,False,날전갈,날전갈,11,648,안면을 노리고 덤벼든다<NEXT>붙어 있던 먹이가 놀라는<NEXT>순간에 독침을 찌른다,항상은 벼랑에 붙어 있다<NEXT>먹이를 발견하면 날개를 펼쳐<NEXT>바람을 타고 날아 덮친다,0x69,0x69,0x5976,0x5A1F
208,강철톤,True,True,True,False,철뱀,철뱀,92,4000,깊은 땅속 아래서<NEXT>압축되어진 몸은<NEXT>다이아몬드보다 단단하다,롱스톤이 100년 이상<NEXT>살면 몸의 성분이<NEXT>다이아몬드처럼 변한다고 전해진다,0x69,0x69,0x59C4,0x5A75
209,블루,True,True,True,False,요정,요정,6,78,무서운 얼굴 표정이지만 마음은<NEXT>매우 상냥해서 여성들에게도<NEXT>매우 인기있는 포켓몬,활발하고 노는 것을 좋아하는 성격<NEXT>잘 따르기 때문에 함께<NEXT>놀고싶어하는 여성들이 많다,0x69,0x69,0x5A05,0x5AC3
210,그랑블루,True,True,True,False,요정,요정,14,487,정말은 겁쟁이라서 겁이 많다<NEXT>공격받으면 필사적으로 손발을<NEXT>흔들어 적을 쫓으려고 한다,너무 무거운 송곳니 때문에<NEXT>항상 목을 기울이고 있다<NEXT>단 물어뜯기는 강력하다,0x69,0x69,0x5A5B,0x5B1D
211,침바루,True,True,True,False,풍선,풍선,5,39,전신의 독침을 날리기 위해<NEXT>10리터의 물을 한번에<NEXT>마시고 몸을 부풀려놓는다,전신의 작은 바늘은<NEXT>비늘이 변화한 것<NEXT>찔리면 독 때문에 정신을 잃게된다,0x69,0x69,0x5AB6,0x5B6E
212,핫삼,True,True,True,False,가위,가위,18,1180,눈알모양의 문양이 있는 집게를<NEXT>흔들어서 상대를 위협하면<NEXT>머리가 3개 있는 듯이 보인다,날개를 사용해도 날 수 없지만<NEXT>고속으로 날갯짓을 하는 것으로<NEXT>체온을 조절할 수 있다,0x69,0x69,0x5B06,0x5BBB
213,단단지,True,True,True,False,발효,발효,6,205,항아리 같은 껍질 안에<NEXT>비축해놓은 열매는 녹아서<NEXT>질퍽한 액체가 된다고 한다,껍질에 열매가 비축되어 있다<NEXT>공격받지 않도록 바위 밑에<NEXT>틀어박혀 꼼짝하지 않고 있다,0x69,0x69,0x5B61,0x5C14
214,헤라크로스,True,True,True,False,외뿔,외뿔,15,540,자랑스런 뿔을 상대의 배<NEXT>밑에 비틀어 박고 한번에 들어올려<NEXT>집어던져 버리는 천하장사,보동은 매우 얌전하지만<NEXT>꿀을 먹을 때 방해하는 것은<NEXT>뿔을 사용해 쫓아 버린다,0x69,0x69,0x5BB2,0x5C6E
215,포푸니,True,True,True,False,갈고리손톱,갈고리손톱,9,280,날카로운 손톱을 손가락 안에<NEXT>감추고 있다가 갑자기 꺼내서<NEXT>공격해온 상대의 기를 꺾는다,거친 성격<NEXT>어미 구구를 쫓아내고<NEXT>둥지에 남은 알을 먹는다,0x69,0x69,0x5C0C,0x5CC0
216,깜지곰,True,True,True,False,아기곰,아기곰,6,88,꿀을 발견하면 초승달 문양이<NEXT>빛난다  달콤한 꿀이 흡착된<NEXT>손바닥을 항상 핥고 있다,먹이가 줄어드는 겨울 전에<NEXT>이곳저곳에 먹을 것을 숨겨두는<NEXT>습성을 지니고 있다,0x69,0x69,0x5C6E,0x5D05
217,링곰,True,True,True,False,동면,동면,18,1258,나무타기가 특기이지만<NEXT>앞발로 나무줄기를 꺾어서<NEXT>떨어진 열매를 먹는다,어떠한 냄새도 구별한다<NEXT>땅속깊이 파묻힌<NEXT>먹이도 남김없이 찾아낸다,0x69,0x69,0x5CC7,0x5D5A
218,마그마그,True,True,True,False,용암,용암,7,350,가만히 있으면 용암으로 만들어진<NEXT>몸이 식어서 딱딱해지기 때문에<NEXT>잠도 자지 않고 항상 움직인다,화산지대에 많이 나타난다<NEXT>따뜻한 곳을 찾아서<NEXT>느릿느릿 기어다니고 있다,0x69,0x69,0x5D13,0x5DA2
219,마그카르고,True,True,True,False,용암,용암,8,550,등껍질은 피부가 식어서<NEXT>딱딱해진 것으로 뭔가가<NEXT>부딪히기만 하면 간단히 부서진다,등껍질은 깨어지기 쉽지만<NEXT>가끔 체내를 순환하고 있는<NEXT>고열의 화염을 뿜어낸다,0x69,0x69,0x5D76,0x5DEF
220,꾸꾸리,True,True,True,False,산돼지,산돼지,4,65,먹이를 찾기 위해 코를<NEXT>이용해서 지면을 파고 있다<NEXT>가끔씩 온천을 발굴해낸다,좋은 냄새를 맡으면<NEXT>뒷일을 생각하지 않고 냄새나는<NEXT>방향으로 뛰어 달려간다,0x69,0x69,0x5DCC,0x5E41
221,메꾸리,True,True,True,False,멧돼지,멧돼지,11,558,길다란 털로 덮혀있어서<NEXT>눈앞의 상태를 잘 모르고<NEXT>오직 돌진만을 반복한다,상대를 목표로 삼고 돌진할 때<NEXT>등에 있는 털이 곤두선다<NEXT>소리에 매우 민감하다,0x69,0x69,0x5E1F,0x5E93
222,코산호,True,True,True,False,산호,산호,6,50,점점 자라면서 돋아나는<NEXT>머리의 끝은 아름답기에<NEXT>보석으로서 매우 인기가 높다,남쪽 바다의 나라에서는<NEXT>코산호의 집단 위에<NEXT>사람들이 생활을 하고 있다,0x69,0x69,0x5E6F,0x5EE7
223,총어,True,True,True,False,분사,분사,6,120,명사수로서 뿜어낸 물은<NEXT>100m 앞에서 움직이는<NEXT>먹이를 반드시 명중시킨다,빨판처럼 변화한<NEXT>등지느러미로 만타인에게 달라붙어<NEXT>먹다 남은 것을 얻어먹고 있다,0x69,0x69,0x5EC1,0x5F33
224,대포무노,True,True,True,False,분사,분사,9,285,견고한 돌머리<NEXT>빨판이 붙어있는 다리를 휘감아서<NEXT>오직 머리로 때려 공격한다,바위구멍에 숨어드는 성질을<NEXT>지녀서 잠이 오면 다른<NEXT>대포무노의 바위구멍 집을 빼앗는다,0x69,0x69,0x5F0E,0x5F89
225,딜리버드,True,True,True,False,배달,배달,9,160,하루종일 먹이를 운반한다<NEXT>조난당한 사람이 딜리버드의<NEXT>먹이로 살아난 이야기도 있다,깎아 세운 듯한 절벽 끝에 있는<NEXT>둥지에서 기다리는 새끼들을 위해<NEXT>하루종일 먹이를 운반하고 있다,0x69,0x69,0x5F5E,0x5FE4
226,만타인,True,True,True,False,연,연,21,2200,유연하게 바다를 헤엄친다<NEXT>먹다 남긴 것을 노린 총어가<NEXT>달라붙어 있어도 신경쓰지 않는다,넓은 바다를 자유롭게 헤엄친다<NEXT>속도가 올라가면 그대로<NEXT>파도 위를 날아올라버린다,0x69,0x69,0x5FB6,0x6048
227,무장조,True,True,True,False,갑옷새,갑옷새,17,505,튼튼한 날개는 무겁게 보이지만<NEXT>뼛속은 비어있어서 가볍기에<NEXT>자유롭게 높은 하늘을 날아다닌다,가시나무 안에 둥지를 만든다<NEXT>가시에 상처를 입어가며 자란<NEXT>새끼들의 날개는 단단해진다,0x69,0x69,0x6010,0x609C
228,델빌,True,True,True,False,다크,다크,6,108,동료에게 연락을 할 때랑<NEXT>먹이를 쫓을 때에는<NEXT>울음소리의 종류가 다르다,동료들끼리만 서로 알 수 있는<NEXT>울음소리로 서로의 위치를<NEXT>확인해가며 먹이를 몰아 붙인다,0x69,0x69,0x6073,0x60F9
229,헬가,True,True,True,False,다크,다크,14,350,입에서 뿜어내는 화염으로<NEXT>화상을 입으면 시간이 흘러도<NEXT>상처난 자리가 쑤시고 지끈거린다,기분나쁜 울음소리를 들은<NEXT>포켓몬은 겁을 내서 그대로 곧장<NEXT>자신의 둥지에 되돌아온다,0x69,0x69,0x60BF,0x6155
230,킹드라,True,True,True,False,드래곤,드래곤,18,1520,보통은 해저동굴에<NEXT>몸을 숨기고 있다는 것 같다<NEXT>하품으로 소용돌이를 발생시킨다,힘을 비축하기 위해 깊은<NEXT>해저에서 잠들어 있다고 전해진다<NEXT>눈을 뜨면 회오리가 된다고 한다,0x69,0x69,0x611C,0x61AE
231,코코리,True,True,True,False,긴코,긴코,5,335,재롱을 부릴 생각으로<NEXT>코를 휘두르며 오지만<NEXT>굉장한 힘이 실려있어서 위험하다,애정표현으로 코를<NEXT>부딛치지만 힘이 있기 때문에<NEXT>조심하지 않으면 날아가 버린다,0x69,0x69,0x6172,0x620F
232,코리갑,True,True,True,False,갑옷,갑옷,11,1200,잘 드는 단단한 송곳니랑<NEXT>더욱이 견고한 피부로 <NEXT>몸통박치기는 집을 무너뜨릴 정도다,송곳니가 길고 클수록<NEXT>무리 중에서 서열이 높다<NEXT>송곳니가 자라는데는 시간이 걸린다,0x69,0x69,0x61C4,0x6263
233,폴리곤2,True,True,True,False,가상,가상,6,325,혹성 개발을 할 수 있도록<NEXT>폴리곤을 버전업 했지만<NEXT>아직 하늘도 날지 못한다,더욱 연구가 진행되어<NEXT>능력이 올라갔다<.> 가끔<NEXT>프로그램에 없는 동작을 보인다,0x69,0x69,0x621C,0x62BA
234,노라키,True,True,True,False,큰뿔,큰뿔,14,712,뿔의 휘어진 상태가 주변의<NEXT>공기흐름을 미묘하게 바꿔서<NEXT>이상한 공간을 만들어낸다,뿔의 모양을 보고있으면<NEXT>감각이 점점 이상해져서<NEXT>자신의 힘으로 서있을 수 없게된다,0x69,0x69,0x626C,0x630C
235,루브도,True,True,True,False,그림장이,그림장이,12,580,꼬리 끝에서 분비하는<NEXT>액체를 여기저기에 칠해서<NEXT>자신의 세력권을 어필한다,어른이되면 동료로부터<NEXT>등에 발자국의 마크를<NEXT>받는 습성을 가진다,0x69,0x69,0x62C2,0x6363
236,배루키,True,True,True,False,싸움,싸움,7,210,항상 기운이 넘친다<NEXT>강해지기 위해 계속 져도<NEXT>상대에게 덤벼든다,어울리는 상대를 발견하면<NEXT>바로 공격해오기 때문에<NEXT>몸집이 작아도 방심은 할 수 없다,0x69,0x69,0x6315,0x63AD
237,카포에라,True,True,True,False,물구나무,물구나무,14,480,춤추듯이 화려하고 거침없는<NEXT>발차기 기술에 넋을 잃고있으면<NEXT>강력한 일격을 선사한다,빙글빙글 돌며 킥을 날린다<NEXT>고속으로 돌다보면<NEXT>그대로 지면을 파고들어 간다,0x69,0x69,0x635A,0x6405
238,뽀뽀라,True,True,True,False,뽀뽀,뽀뽀,4,60,입술이 제일 민감하다<NEXT>무엇이든지 먼저 입술로 건드려서<NEXT>어떤 것인지 확인한다,항상 뽀뽀를 하려는듯이<NEXT>편안한 리듬으로<NEXT>목을 전후로 흔들고 있다,0x69,0x69,0x63B6,0x6459
239,에레키드,True,True,True,False,전류,전류,6,235,팔을 빙글빙글 돌려서 전기를<NEXT>발생시키지만 곧 지쳐버려<NEXT>조금밖에 전기가 모이지 않는다,아무리 거친 폭풍 속이라도<NEXT>번개가 치고 있다면<NEXT>즐겁게 놀고 다닌다,0x69,0x69,0x6408,0x64A0
240,마그비,True,True,True,False,불씨,불씨,7,214,숨을 쉬거나 뱉거나<NEXT>할 때마다 입과 코에서<NEXT>불꽃이 새어나와 버린다,화산의 분화구에서 발견할 수 있다<NEXT>체온은 600도가 넘기 때문에<NEXT>작다고 업신여길 수 없다,0x69,0x69,0x6463,0x64E8
241,밀탱크,True,True,True,False,젖소,젖소,12,755,우유는 영양만점이다<NEXT>노인이랑 병자들에게<NEXT>있어서 최고의 음식이다,새끼가 태어났을 때에<NEXT>짜낸 우유는 평상시보다<NEXT>영양이 듬뿍 담겨져 있다,0x69,0x69,0x64AB,0x6544
242,해피너스,True,True,True,False,행복,행복,15,468,해피너스가 낳은 알을<NEXT>한입이라도 먹은 사람은<NEXT>누구에게든지 상냥하게 되어진다,마음 착한 성격으로<NEXT>병들은 포켓몬을 발견하면<NEXT>회복될 때까지 간병을 해준다,0x69,0x69,0x64F2,0x6590
243,라이코,True,True,True,False,우뢰,우뢰,19,1780,비구름을 등에 짊어지고 있어서<NEXT>어떠한 때든 번개를 칠 수 있다<NEXT>번개와 함깨 떨어졌다고 말한다,번개가 쳤을 때 같은<NEXT>울음소리로 짖으며<NEXT>대지를 달리는 포켓몬,0x69,0x69,0x6545,0x65E0
244,앤테이,True,True,True,False,화산,화산,21,1980,울부짖으면 화산이 분화한다<NEXT>가득 넘치는 힘을 주체하지 못하고<NEXT>길이란 길은 죄다 돌아다닌다,새로운 화산이 생길 때마다<NEXT>태어난다고 전해지는<NEXT>대지를 달리는 포켓몬,0x69,0x69,0x65A7,0x6623
245,스이쿤,True,True,True,False,오로라,오로라,20,1870,일순간에 더럽고 탁한<NEXT>물도 맑게 하는 힘을 지녔다<NEXT>북풍이 새로 태어났다고 말한다,모습을 나타냈을 때<NEXT>어쩐지 북풍이 불어온다고 전해지는<NEXT>대지를 달리는 포켓몬,0x69,0x69,0x6607,0x666E
246,애버라스,True,True,True,False,바위표면,바위표면,6,720,흙을 먹으며 살고있다<NEXT>커다란 산 하나를 먹어치우면<NEXT>성충이 되기 위해 잠들기 시작한다,땅속 깊은곳에서 태어난다<NEXT>근처의 흙을 치우지 않으면<NEXT>지상으로 나오지 않는다,0x69,0x69,0x665F,0x66C2
247,데기라스,True,True,True,False,탄환,탄환,12,1520,암반 같은 단단한 껍질로<NEXT>둘러싸여있지만 힘은 강해서<NEXT>화가나면 산도 무너뜨려 버린다,껍질에 덮혀있지만 자유로이<NEXT>뛰어다닌다<.> 단단함과 스피드를<NEXT>지니고 있어서 파괴력이 대단하다,0x69,0x69,0x66BD,0x6718
248,마기라스,True,True,True,False,갑옷,갑옷,20,2020,어떤 공격에도 꿈쩍도 하지 않는<NEXT>몸을 지니고 있기 때문에<NEXT>점점 승부를 걸어온다,주변지형을 바꾸는 정도 쯤은<NEXT>누워서 떡먹기의 힘을 가지고 있다<NEXT>주위에 신경쓰지 않는 대담한 성격,0x69,0x69,0x6716,0x677A
249,루기아,True,True,True,False,잠수,잠수,52,2160,너무나도 강한 능력을 지녔기에<NEXT>깊은 바다 밑에서 조용히<NEXT>시간을 보낸다고 전해지고 있다,바다의 신이라고 전해지는<NEXT>포켓몬  폭풍의 밤에 모습을<NEXT>보았다는 이야기가 전해져온다,0x69,0x69,0x676A,0x67E0
250,칠색조,True,True,True,False,무지개색,무지개색,38,1990,무지개색의 훌륭한 날개로<NEXT>전 세계의 하늘을 날고 있다는<NEXT>신화로 전해지고 있는 포켓몬,몸은 일곱빛으로 빛나고<NEXT>날아간 자리에는 무지개가 생긴다고<NEXT>신화속에 전해져 오는 포켓몬,0x69,0x69,0x67C6,0x6839
251,세레비,True,True,True,False,시간이동,시간이동,6,50,시간을 넘어서 여기저기 방황한다<NEXT>세레비가 모습을 나타낸<NEXT>숲은 수풀이 무성하다고 전해진다,세레비가 모습을 감춘<NEXT>숲 깊은 곳에 남겨진 알은<NEXT>미래로부터 가져온 것 같다,0x69,0x69,0x6824,0x689A
